Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 123.0.0.0,,,23-03-2024 18:03:29,23-03-2024 18:03:51,"21,986s",PASSED
,,,,,,,
Test Cases/Test1,Chrome 123.0.0.0,,,23-03-2024 18:03:30,23-03-2024 18:03:51,"21,266s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,23-03-2024 18:03:30,23-03-2024 18:03:44,"13,883s",PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 123.0.0.0,,,23-03-2024 18:03:44,23-03-2024 18:03:51,"6,551s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,23-03-2024 18:03:51,23-03-2024 18:03:51,"0,155s",PASSED
